,Questions,Ratings
417646,Cleanliness - star rating,3
417651,Quietness - star rating,2
417656,Overall hospital rating - star rating,3
417661,Recommend hospital - star rating,3
417662,Summary star rating,3
417667,Nurse communication - star rating,3
417681,Doctor communication - star rating,3
417695,Staff responsiveness - star rating,2
417706,Communication about medicines - star rating,3
417716,Discharge information - star rating,4
417725,Care transition - star rating,2
417739,Cleanliness - star rating,4
417744,Quietness - star rating,2
417749,Overall hospital rating - star rating,3
417754,Recommend hospital - star rating,3
417755,Summary star rating,3
417760,Nurse communication - star rating,3
417774,Doctor communication - star rating,4
417788,Staff responsiveness - star rating,2
417799,Communication about medicines - star rating,3
417809,Discharge information - star rating,4
417818,Care transition - star rating,3
417832,Cleanliness - star rating,4
417837,Quietness - star rating,2
417842,Overall hospital rating - star rating,4
417847,Recommend hospital - star rating,4
417848,Summary star rating,3
417853,Nurse communication - star rating,4
417867,Doctor communication - star rating,4
417881,Staff responsiveness - star rating,3
417892,Communication about medicines - star rating,3
417902,Discharge information - star rating,4
417911,Care transition - star rating,4
417925,Cleanliness - star rating,5
417930,Quietness - star rating,4
417935,Overall hospital rating - star rating,4
417940,Recommend hospital - star rating,4
417941,Summary star rating,4
417946,Nurse communication - star rating,2
417960,Doctor communication - star rating,3
417974,Staff responsiveness - star rating,2
417985,Communication about medicines - star rating,3
417995,Discharge information - star rating,3
418004,Care transition - star rating,2
418018,Cleanliness - star rating,4
418023,Quietness - star rating,2
418028,Overall hospital rating - star rating,3
418033,Recommend hospital - star rating,3
418034,Summary star rating,3
418039,Nurse communication - star rating,4
418053,Doctor communication - star rating,4
418067,Staff responsiveness - star rating,3
418078,Communication about medicines - star rating,2
418088,Discharge information - star rating,3
418097,Care transition - star rating,3
418111,Cleanliness - star rating,2
418116,Quietness - star rating,2
418121,Overall hospital rating - star rating,4
418126,Recommend hospital - star rating,4
418127,Summary star rating,3
418132,Nurse communication - star rating,4
418146,Doctor communication - star rating,4
418160,Staff responsiveness - star rating,3
418171,Communication about medicines - star rating,3
418181,Discharge information - star rating,4
418190,Care transition - star rating,3
418204,Cleanliness - star rating,4
418209,Quietness - star rating,3
418214,Overall hospital rating - star rating,4
418219,Recommend hospital - star rating,4
418220,Summary star rating,4
418225,Nurse communication - star rating,4
418239,Doctor communication - star rating,4
418253,Staff responsiveness - star rating,3
418264,Communication about medicines - star rating,5
418274,Discharge information - star rating,4
418283,Care transition - star rating,4
418297,Cleanliness - star rating,4
418302,Quietness - star rating,2
418307,Overall hospital rating - star rating,4
418312,Recommend hospital - star rating,4
418313,Summary star rating,4
418318,Nurse communication - star rating,4
418332,Doctor communication - star rating,4
418346,Staff responsiveness - star rating,4
418357,Communication about medicines - star rating,3
418367,Discharge information - star rating,4
418376,Care transition - star rating,4
418390,Cleanliness - star rating,4
418395,Quietness - star rating,2
418400,Overall hospital rating - star rating,4
418405,Recommend hospital - star rating,4
418406,Summary star rating,4
418411,Nurse communication - star rating,3
418425,Doctor communication - star rating,3
418439,Staff responsiveness - star rating,2
418450,Communication about medicines - star rating,3
418460,Discharge information - star rating,4
418469,Care transition - star rating,3
418483,Cleanliness - star rating,3
418488,Quietness - star rating,1
418493,Overall hospital rating - star rating,3
418498,Recommend hospital - star rating,4
418499,Summary star rating,3
418597,Nurse communication - star rating,4
418611,Doctor communication - star rating,4
418625,Staff responsiveness - star rating,4
418636,Communication about medicines - star rating,3
418646,Discharge information - star rating,3
418655,Care transition - star rating,3
418669,Cleanliness - star rating,4
418674,Quietness - star rating,2
418679,Overall hospital rating - star rating,4
418684,Recommend hospital - star rating,4
418685,Summary star rating,4
418690,Nurse communication - star rating,3
418704,Doctor communication - star rating,3
418718,Staff responsiveness - star rating,2
418729,Communication about medicines - star rating,2
418739,Discharge information - star rating,3
418748,Care transition - star rating,2
418762,Cleanliness - star rating,3
418767,Quietness - star rating,2
418772,Overall hospital rating - star rating,3
418777,Recommend hospital - star rating,4
418778,Summary star rating,3
418783,Nurse communication - star rating,3
418797,Doctor communication - star rating,2
418811,Staff responsiveness - star rating,2
418822,Communication about medicines - star rating,2
418832,Discharge information - star rating,3
418841,Care transition - star rating,2
418855,Cleanliness - star rating,2
418860,Quietness - star rating,2
418865,Overall hospital rating - star rating,2
418870,Recommend hospital - star rating,3
418871,Summary star rating,2
418969,Nurse communication - star rating,2
418983,Doctor communication - star rating,3
418997,Staff responsiveness - star rating,3
419008,Communication about medicines - star rating,2
419018,Discharge information - star rating,3
419027,Care transition - star rating,3
419041,Cleanliness - star rating,3
419046,Quietness - star rating,3
419051,Overall hospital rating - star rating,3
419056,Recommend hospital - star rating,3
419057,Summary star rating,3
419062,Nurse communication - star rating,3
419076,Doctor communication - star rating,3
419090,Staff responsiveness - star rating,3
419101,Communication about medicines - star rating,3
419111,Discharge information - star rating,4
419120,Care transition - star rating,3
419134,Cleanliness - star rating,3
419139,Quietness - star rating,1
419144,Overall hospital rating - star rating,3
419149,Recommend hospital - star rating,4
419150,Summary star rating,3
419155,Nurse communication - star rating,3
419169,Doctor communication - star rating,3
419183,Staff responsiveness - star rating,3
419194,Communication about medicines - star rating,2
419204,Discharge information - star rating,4
419213,Care transition - star rating,3
419227,Cleanliness - star rating,3
419232,Quietness - star rating,2
419237,Overall hospital rating - star rating,3
419242,Recommend hospital - star rating,3
419243,Summary star rating,3
419341,Nurse communication - star rating,3
419355,Doctor communication - star rating,4
419369,Staff responsiveness - star rating,3
419380,Communication about medicines - star rating,3
419390,Discharge information - star rating,3
419399,Care transition - star rating,3
419413,Cleanliness - star rating,4
419418,Quietness - star rating,4
419423,Overall hospital rating - star rating,4
419428,Recommend hospital - star rating,4
419429,Summary star rating,3
419434,Nurse communication - star rating,3
419448,Doctor communication - star rating,3
419462,Staff responsiveness - star rating,2
419473,Communication about medicines - star rating,2
419483,Discharge information - star rating,3
419492,Care transition - star rating,2
419506,Cleanliness - star rating,2
419511,Quietness - star rating,2
419516,Overall hospital rating - star rating,3
419521,Recommend hospital - star rating,3
419522,Summary star rating,3
419527,Nurse communication - star rating,3
419541,Doctor communication - star rating,3
419555,Staff responsiveness - star rating,2
419566,Communication about medicines - star rating,3
419576,Discharge information - star rating,4
419585,Care transition - star rating,2
419599,Cleanliness - star rating,4
419604,Quietness - star rating,2
419609,Overall hospital rating - star rating,3
419614,Recommend hospital - star rating,3
419615,Summary star rating,3
419620,Nurse communication - star rating,3
419634,Doctor communication - star rating,3
419648,Staff responsiveness - star rating,3
419659,Communication about medicines - star rating,3
419669,Discharge information - star rating,4
419678,Care transition - star rating,3
419692,Cleanliness - star rating,3
419697,Quietness - star rating,2
419702,Overall hospital rating - star rating,3
419707,Recommend hospital - star rating,3
419708,Summary star rating,3
419899,Nurse communication - star rating,4
419913,Doctor communication - star rating,4
419927,Staff responsiveness - star rating,4
419938,Communication about medicines - star rating,4
419948,Discharge information - star rating,4
419957,Care transition - star rating,4
419971,Cleanliness - star rating,4
419976,Quietness - star rating,4
419981,Overall hospital rating - star rating,4
419986,Recommend hospital - star rating,4
419987,Summary star rating,4
419992,Nurse communication - star rating,2
420006,Doctor communication - star rating,3
420020,Staff responsiveness - star rating,2
420031,Communication about medicines - star rating,2
420041,Discharge information - star rating,3
420050,Care transition - star rating,2
420064,Cleanliness - star rating,4
420069,Quietness - star rating,3
420074,Overall hospital rating - star rating,3
420079,Recommend hospital - star rating,4
420080,Summary star rating,3
420085,Nurse communication - star rating,3
420099,Doctor communication - star rating,3
420113,Staff responsiveness - star rating,3
420124,Communication about medicines - star rating,3
420134,Discharge information - star rating,3
420143,Care transition - star rating,3
420157,Cleanliness - star rating,4
420162,Quietness - star rating,3
420167,Overall hospital rating - star rating,4
420172,Recommend hospital - star rating,4
420173,Summary star rating,3
420178,Nurse communication - star rating,2
420192,Doctor communication - star rating,3
420206,Staff responsiveness - star rating,3
420217,Communication about medicines - star rating,3
420227,Discharge information - star rating,4
420236,Care transition - star rating,3
420250,Cleanliness - star rating,3
420255,Quietness - star rating,4
420260,Overall hospital rating - star rating,3
420265,Recommend hospital - star rating,4
420266,Summary star rating,3
420271,Nurse communication - star rating,3
420285,Doctor communication - star rating,4
420299,Staff responsiveness - star rating,3
420310,Communication about medicines - star rating,4
420320,Discharge information - star rating,3
420329,Care transition - star rating,3
420343,Cleanliness - star rating,3
420348,Quietness - star rating,2
420353,Overall hospital rating - star rating,4
420358,Recommend hospital - star rating,3
420359,Summary star rating,3
421294,Nurse communication - star rating,4
421308,Doctor communication - star rating,4
421322,Staff responsiveness - star rating,3
421333,Communication about medicines - star rating,4
421343,Discharge information - star rating,4
421352,Care transition - star rating,4
421366,Cleanliness - star rating,5
421371,Quietness - star rating,3
421376,Overall hospital rating - star rating,4
421381,Recommend hospital - star rating,4
421382,Summary star rating,4
422317,Nurse communication - star rating,5
422331,Doctor communication - star rating,5
422345,Staff responsiveness - star rating,5
422356,Communication about medicines - star rating,4
422366,Discharge information - star rating,5
422375,Care transition - star rating,4
422389,Cleanliness - star rating,4
422394,Quietness - star rating,3
422399,Overall hospital rating - star rating,5
422404,Recommend hospital - star rating,5
422405,Summary star rating,5
422596,Nurse communication - star rating,5
422610,Doctor communication - star rating,4
422624,Staff responsiveness - star rating,4
422635,Communication about medicines - star rating,4
422645,Discharge information - star rating,4
422654,Care transition - star rating,3
422668,Cleanliness - star rating,5
422673,Quietness - star rating,3
422678,Overall hospital rating - star rating,4
422683,Recommend hospital - star rating,4
422684,Summary star rating,4
422782,Nurse communication - star rating,3
422796,Doctor communication - star rating,3
422810,Staff responsiveness - star rating,4
422821,Communication about medicines - star rating,3
422831,Discharge information - star rating,4
422840,Care transition - star rating,2
422854,Cleanliness - star rating,4
422859,Quietness - star rating,4
422864,Overall hospital rating - star rating,3
422869,Recommend hospital - star rating,3
422870,Summary star rating,3
422968,Nurse communication - star rating,2
422982,Doctor communication - star rating,2
422996,Staff responsiveness - star rating,3
423007,Communication about medicines - star rating,2
423017,Discharge information - star rating,3
423026,Care transition - star rating,2
423040,Cleanliness - star rating,3
423045,Quietness - star rating,2
423050,Overall hospital rating - star rating,2
423055,Recommend hospital - star rating,2
423056,Summary star rating,2
423061,Nurse communication - star rating,5
423075,Doctor communication - star rating,5
423089,Staff responsiveness - star rating,4
423100,Communication about medicines - star rating,4
423110,Discharge information - star rating,4
423119,Care transition - star rating,4
423133,Cleanliness - star rating,4
423138,Quietness - star rating,4
423143,Overall hospital rating - star rating,5
423148,Recommend hospital - star rating,5
423149,Summary star rating,4
423154,Nurse communication - star rating,4
423168,Doctor communication - star rating,4
423182,Staff responsiveness - star rating,4
423193,Communication about medicines - star rating,3
423203,Discharge information - star rating,4
423212,Care transition - star rating,3
423226,Cleanliness - star rating,3
423231,Quietness - star rating,2
423236,Overall hospital rating - star rating,4
423241,Recommend hospital - star rating,5
423242,Summary star rating,4
423247,Nurse communication - star rating,4
423261,Doctor communication - star rating,4
423275,Staff responsiveness - star rating,5
423286,Communication about medicines - star rating,4
423296,Discharge information - star rating,4
423305,Care transition - star rating,3
423319,Cleanliness - star rating,4
423324,Quietness - star rating,3
423329,Overall hospital rating - star rating,4
423334,Recommend hospital - star rating,3
423335,Summary star rating,4
423433,Nurse communication - star rating,4
423447,Doctor communication - star rating,3
423461,Staff responsiveness - star rating,3
423472,Communication about medicines - star rating,2
423482,Discharge information - star rating,4
423491,Care transition - star rating,3
423505,Cleanliness - star rating,4
423510,Quietness - star rating,3
423515,Overall hospital rating - star rating,4
423520,Recommend hospital - star rating,4
423521,Summary star rating,3
423526,Nurse communication - star rating,4
423540,Doctor communication - star rating,4
423554,Staff responsiveness - star rating,5
423565,Communication about medicines - star rating,4
423575,Discharge information - star rating,4
423584,Care transition - star rating,3
423598,Cleanliness - star rating,4
423603,Quietness - star rating,3
423608,Overall hospital rating - star rating,4
423613,Recommend hospital - star rating,4
423614,Summary star rating,4
423619,Nurse communication - star rating,3
423633,Doctor communication - star rating,3
423647,Staff responsiveness - star rating,4
423658,Communication about medicines - star rating,2
423668,Discharge information - star rating,4
423677,Care transition - star rating,3
423691,Cleanliness - star rating,5
423696,Quietness - star rating,3
423701,Overall hospital rating - star rating,3
423706,Recommend hospital - star rating,3
423707,Summary star rating,3
423805,Nurse communication - star rating,5
423819,Doctor communication - star rating,4
423833,Staff responsiveness - star rating,4
423844,Communication about medicines - star rating,4
423854,Discharge information - star rating,4
423863,Care transition - star rating,3
423877,Cleanliness - star rating,5
423882,Quietness - star rating,4
423887,Overall hospital rating - star rating,4
423892,Recommend hospital - star rating,3
423893,Summary star rating,4
424270,Nurse communication - star rating,4
424284,Doctor communication - star rating,3
424298,Staff responsiveness - star rating,3
424309,Communication about medicines - star rating,3
424319,Discharge information - star rating,4
424328,Care transition - star rating,3
424342,Cleanliness - star rating,2
424347,Quietness - star rating,1
424352,Overall hospital rating - star rating,3
424357,Recommend hospital - star rating,4
424358,Summary star rating,3
424363,Nurse communication - star rating,4
424377,Doctor communication - star rating,4
424391,Staff responsiveness - star rating,3
424402,Communication about medicines - star rating,3
424412,Discharge information - star rating,4
424421,Care transition - star rating,3
424435,Cleanliness - star rating,5
424440,Quietness - star rating,3
424445,Overall hospital rating - star rating,3
424450,Recommend hospital - star rating,3
424451,Summary star rating,4
424456,Nurse communication - star rating,3
424470,Doctor communication - star rating,3
424484,Staff responsiveness - star rating,3
424495,Communication about medicines - star rating,3
424505,Discharge information - star rating,3
424514,Care transition - star rating,2
424528,Cleanliness - star rating,3
424533,Quietness - star rating,3
424538,Overall hospital rating - star rating,3
424543,Recommend hospital - star rating,4
424544,Summary star rating,3
424549,Nurse communication - star rating,3
424563,Doctor communication - star rating,2
424577,Staff responsiveness - star rating,3
424588,Communication about medicines - star rating,3
424598,Discharge information - star rating,3
424607,Care transition - star rating,2
424621,Cleanliness - star rating,3
424626,Quietness - star rating,3
424631,Overall hospital rating - star rating,3
424636,Recommend hospital - star rating,4
424637,Summary star rating,3
424642,Nurse communication - star rating,2
424656,Doctor communication - star rating,2
424670,Staff responsiveness - star rating,2
424681,Communication about medicines - star rating,2
424691,Discharge information - star rating,2
424700,Care transition - star rating,2
424714,Cleanliness - star rating,3
424719,Quietness - star rating,1
424724,Overall hospital rating - star rating,2
424729,Recommend hospital - star rating,2
424730,Summary star rating,2
424828,Nurse communication - star rating,3
424842,Doctor communication - star rating,4
424856,Staff responsiveness - star rating,3
424867,Communication about medicines - star rating,2
424877,Discharge information - star rating,3
424886,Care transition - star rating,2
424900,Cleanliness - star rating,3
424905,Quietness - star rating,3
424910,Overall hospital rating - star rating,3
424915,Recommend hospital - star rating,3
424916,Summary star rating,3
424921,Nurse communication - star rating,3
424935,Doctor communication - star rating,3
424949,Staff responsiveness - star rating,3
424960,Communication about medicines - star rating,3
424970,Discharge information - star rating,4
424979,Care transition - star rating,3
424993,Cleanliness - star rating,3
424998,Quietness - star rating,2
425003,Overall hospital rating - star rating,3
425008,Recommend hospital - star rating,4
425009,Summary star rating,3
425014,Nurse communication - star rating,2
425028,Doctor communication - star rating,3
425042,Staff responsiveness - star rating,2
425053,Communication about medicines - star rating,2
425063,Discharge information - star rating,4
425072,Care transition - star rating,2
425086,Cleanliness - star rating,3
425091,Quietness - star rating,1
425096,Overall hospital rating - star rating,2
425101,Recommend hospital - star rating,3
425102,Summary star rating,2
425107,Nurse communication - star rating,4
425121,Doctor communication - star rating,4
425135,Staff responsiveness - star rating,3
425146,Communication about medicines - star rating,3
425156,Discharge information - star rating,4
425165,Care transition - star rating,4
425179,Cleanliness - star rating,4
425184,Quietness - star rating,3
425189,Overall hospital rating - star rating,4
425194,Recommend hospital - star rating,5
425195,Summary star rating,4
425200,Nurse communication - star rating,3
425214,Doctor communication - star rating,3
425228,Staff responsiveness - star rating,3
425239,Communication about medicines - star rating,2
425249,Discharge information - star rating,3
425258,Care transition - star rating,2
425272,Cleanliness - star rating,2
425277,Quietness - star rating,2
425282,Overall hospital rating - star rating,3
425287,Recommend hospital - star rating,3
425288,Summary star rating,3
425293,Nurse communication - star rating,5
425307,Doctor communication - star rating,5
425321,Staff responsiveness - star rating,5
425332,Communication about medicines - star rating,4
425342,Discharge information - star rating,4
425351,Care transition - star rating,4
425365,Cleanliness - star rating,4
425370,Quietness - star rating,4
425375,Overall hospital rating - star rating,5
425380,Recommend hospital - star rating,4
425381,Summary star rating,4
425386,Nurse communication - star rating,2
425400,Doctor communication - star rating,3
425414,Staff responsiveness - star rating,3
425425,Communication about medicines - star rating,2
425435,Discharge information - star rating,3
425444,Care transition - star rating,2
425458,Cleanliness - star rating,3
425463,Quietness - star rating,2
425468,Overall hospital rating - star rating,2
425473,Recommend hospital - star rating,2
425474,Summary star rating,2
425572,Nurse communication - star rating,3
425586,Doctor communication - star rating,3
425600,Staff responsiveness - star rating,4
425611,Communication about medicines - star rating,2
425621,Discharge information - star rating,3
425630,Care transition - star rating,4
425644,Cleanliness - star rating,5
425649,Quietness - star rating,3
425654,Overall hospital rating - star rating,3
425659,Recommend hospital - star rating,3
425660,Summary star rating,3
425665,Nurse communication - star rating,5
425679,Doctor communication - star rating,4
425693,Staff responsiveness - star rating,4
425704,Communication about medicines - star rating,4
425714,Discharge information - star rating,4
425723,Care transition - star rating,4
425737,Cleanliness - star rating,5
425742,Quietness - star rating,3
425747,Overall hospital rating - star rating,4
425752,Recommend hospital - star rating,4
425753,Summary star rating,4
425758,Nurse communication - star rating,2
425772,Doctor communication - star rating,3
425786,Staff responsiveness - star rating,2
425797,Communication about medicines - star rating,3
425807,Discharge information - star rating,3
425816,Care transition - star rating,3
425830,Cleanliness - star rating,2
425835,Quietness - star rating,2
425840,Overall hospital rating - star rating,2
425845,Recommend hospital - star rating,3
425846,Summary star rating,3
425944,Nurse communication - star rating,3
425958,Doctor communication - star rating,3
425972,Staff responsiveness - star rating,3
425983,Communication about medicines - star rating,3
425993,Discharge information - star rating,3
426002,Care transition - star rating,2
426016,Cleanliness - star rating,4
426021,Quietness - star rating,2
426026,Overall hospital rating - star rating,2
426031,Recommend hospital - star rating,2
426032,Summary star rating,3
426037,Nurse communication - star rating,5
426051,Doctor communication - star rating,3
426065,Staff responsiveness - star rating,5
426076,Communication about medicines - star rating,4
426086,Discharge information - star rating,4
426095,Care transition - star rating,4
426109,Cleanliness - star rating,5
426114,Quietness - star rating,4
426119,Overall hospital rating - star rating,4
426124,Recommend hospital - star rating,4
426125,Summary star rating,4
426130,Nurse communication - star rating,2
426144,Doctor communication - star rating,2
426158,Staff responsiveness - star rating,2
426169,Communication about medicines - star rating,3
426179,Discharge information - star rating,4
426188,Care transition - star rating,2
426202,Cleanliness - star rating,3
426207,Quietness - star rating,2
426212,Overall hospital rating - star rating,2
426217,Recommend hospital - star rating,2
426218,Summary star rating,2
426223,Nurse communication - star rating,3
426237,Doctor communication - star rating,3
426251,Staff responsiveness - star rating,3
426262,Communication about medicines - star rating,3
426272,Discharge information - star rating,3
426281,Care transition - star rating,3
426295,Cleanliness - star rating,4
426300,Quietness - star rating,4
426305,Overall hospital rating - star rating,3
426310,Recommend hospital - star rating,4
426311,Summary star rating,3
426316,Nurse communication - star rating,3
426330,Doctor communication - star rating,3
426344,Staff responsiveness - star rating,3
426355,Communication about medicines - star rating,2
426365,Discharge information - star rating,4
426374,Care transition - star rating,3
426388,Cleanliness - star rating,3
426393,Quietness - star rating,2
426398,Overall hospital rating - star rating,3
426403,Recommend hospital - star rating,3
426404,Summary star rating,3
426409,Nurse communication - star rating,4
426423,Doctor communication - star rating,3
426437,Staff responsiveness - star rating,3
426448,Communication about medicines - star rating,4
426458,Discharge information - star rating,4
426467,Care transition - star rating,4
426481,Cleanliness - star rating,4
426486,Quietness - star rating,2
426491,Overall hospital rating - star rating,4
426496,Recommend hospital - star rating,4
426497,Summary star rating,4
426502,Nurse communication - star rating,2
426516,Doctor communication - star rating,2
426530,Staff responsiveness - star rating,2
426541,Communication about medicines - star rating,3
426551,Discharge information - star rating,3
426560,Care transition - star rating,2
426574,Cleanliness - star rating,3
426579,Quietness - star rating,1
426584,Overall hospital rating - star rating,2
426589,Recommend hospital - star rating,3
426590,Summary star rating,2
426595,Nurse communication - star rating,1
426609,Doctor communication - star rating,1
426623,Staff responsiveness - star rating,1
426634,Communication about medicines - star rating,1
426644,Discharge information - star rating,1
426653,Care transition - star rating,1
426667,Cleanliness - star rating,2
426672,Quietness - star rating,1
426677,Overall hospital rating - star rating,1
426682,Recommend hospital - star rating,1
426683,Summary star rating,1
426688,Nurse communication - star rating,5
426702,Doctor communication - star rating,4
426716,Staff responsiveness - star rating,4
426727,Communication about medicines - star rating,4
426737,Discharge information - star rating,4
426746,Care transition - star rating,3
426760,Cleanliness - star rating,4
426765,Quietness - star rating,4
426770,Overall hospital rating - star rating,3
426775,Recommend hospital - star rating,2
426776,Summary star rating,4
426781,Nurse communication - star rating,5
426795,Doctor communication - star rating,5
426809,Staff responsiveness - star rating,4
426820,Communication about medicines - star rating,5
426830,Discharge information - star rating,3
426839,Care transition - star rating,5
426853,Cleanliness - star rating,5
426858,Quietness - star rating,5
426863,Overall hospital rating - star rating,5
426868,Recommend hospital - star rating,4
426869,Summary star rating,5
426874,Nurse communication - star rating,5
426888,Doctor communication - star rating,5
426902,Staff responsiveness - star rating,5
426913,Communication about medicines - star rating,5
426923,Discharge information - star rating,5
426932,Care transition - star rating,5
426946,Cleanliness - star rating,5
426951,Quietness - star rating,5
426956,Overall hospital rating - star rating,5
426961,Recommend hospital - star rating,5
426962,Summary star rating,5
427990,Nurse communication - star rating,5
428004,Doctor communication - star rating,5
428018,Staff responsiveness - star rating,4
428029,Communication about medicines - star rating,5
428039,Discharge information - star rating,3
428048,Care transition - star rating,5
428062,Cleanliness - star rating,5
428067,Quietness - star rating,4
428072,Overall hospital rating - star rating,5
428077,Recommend hospital - star rating,5
428078,Summary star rating,5
428083,Nurse communication - star rating,5
428097,Doctor communication - star rating,4
428111,Staff responsiveness - star rating,5
428122,Communication about medicines - star rating,5
428132,Discharge information - star rating,4
428141,Care transition - star rating,4
428155,Cleanliness - star rating,5
428160,Quietness - star rating,4
428165,Overall hospital rating - star rating,4
428170,Recommend hospital - star rating,5
428171,Summary star rating,5
428176,Nurse communication - star rating,3
428190,Doctor communication - star rating,4
428204,Staff responsiveness - star rating,3
428215,Communication about medicines - star rating,2
428225,Discharge information - star rating,3
428234,Care transition - star rating,2
428248,Cleanliness - star rating,4
428253,Quietness - star rating,2
428258,Overall hospital rating - star rating,3
428263,Recommend hospital - star rating,3
428264,Summary star rating,3
428269,Nurse communication - star rating,5
428283,Doctor communication - star rating,4
428297,Staff responsiveness - star rating,5
428308,Communication about medicines - star rating,4
428318,Discharge information - star rating,5
428327,Care transition - star rating,4
428341,Cleanliness - star rating,5
428346,Quietness - star rating,4
428351,Overall hospital rating - star rating,4
428356,Recommend hospital - star rating,4
428357,Summary star rating,4
428362,Nurse communication - star rating,5
428376,Doctor communication - star rating,5
428390,Staff responsiveness - star rating,5
428401,Communication about medicines - star rating,5
428411,Discharge information - star rating,5
428420,Care transition - star rating,4
428434,Cleanliness - star rating,5
428439,Quietness - star rating,5
428444,Overall hospital rating - star rating,5
428449,Recommend hospital - star rating,5
428450,Summary star rating,5
428548,Nurse communication - star rating,4
428562,Doctor communication - star rating,4
428576,Staff responsiveness - star rating,4
428587,Communication about medicines - star rating,2
428597,Discharge information - star rating,3
428606,Care transition - star rating,3
428620,Cleanliness - star rating,4
428625,Quietness - star rating,3
428630,Overall hospital rating - star rating,4
428635,Recommend hospital - star rating,4
428636,Summary star rating,3
428734,Nurse communication - star rating,5
428748,Doctor communication - star rating,5
428762,Staff responsiveness - star rating,4
428773,Communication about medicines - star rating,4
428783,Discharge information - star rating,4
428792,Care transition - star rating,4
428806,Cleanliness - star rating,4
428811,Quietness - star rating,4
428816,Overall hospital rating - star rating,4
428821,Recommend hospital - star rating,4
428822,Summary star rating,4
428920,Nurse communication - star rating,3
428934,Doctor communication - star rating,3
428948,Staff responsiveness - star rating,3
428959,Communication about medicines - star rating,4
428969,Discharge information - star rating,4
428978,Care transition - star rating,3
428992,Cleanliness - star rating,3
428997,Quietness - star rating,4
429002,Overall hospital rating - star rating,3
429007,Recommend hospital - star rating,3
429008,Summary star rating,3
429013,Nurse communication - star rating,4
429027,Doctor communication - star rating,4
429041,Staff responsiveness - star rating,4
429052,Communication about medicines - star rating,4
429062,Discharge information - star rating,4
429071,Care transition - star rating,4
429085,Cleanliness - star rating,5
429090,Quietness - star rating,4
429095,Overall hospital rating - star rating,4
429100,Recommend hospital - star rating,5
429101,Summary star rating,4
429106,Nurse communication - star rating,3
429120,Doctor communication - star rating,4
429134,Staff responsiveness - star rating,3
429145,Communication about medicines - star rating,3
429155,Discharge information - star rating,4
429164,Care transition - star rating,3
429178,Cleanliness - star rating,3
429183,Quietness - star rating,4
429188,Overall hospital rating - star rating,3
429193,Recommend hospital - star rating,4
429194,Summary star rating,3
429199,Nurse communication - star rating,3
429213,Doctor communication - star rating,3
429227,Staff responsiveness - star rating,4
429238,Communication about medicines - star rating,3
429248,Discharge information - star rating,4
429257,Care transition - star rating,4
429271,Cleanliness - star rating,4
429276,Quietness - star rating,3
429281,Overall hospital rating - star rating,4
429286,Recommend hospital - star rating,4
429287,Summary star rating,4
429292,Nurse communication - star rating,4
429306,Doctor communication - star rating,3
429320,Staff responsiveness - star rating,4
429331,Communication about medicines - star rating,3
429341,Discharge information - star rating,4
429350,Care transition - star rating,3
429364,Cleanliness - star rating,4
429369,Quietness - star rating,4
429374,Overall hospital rating - star rating,4
429379,Recommend hospital - star rating,3
429380,Summary star rating,4
429385,Nurse communication - star rating,4
429399,Doctor communication - star rating,3
429413,Staff responsiveness - star rating,3
429424,Communication about medicines - star rating,3
429434,Discharge information - star rating,4
429443,Care transition - star rating,3
429457,Cleanliness - star rating,3
429462,Quietness - star rating,3
429467,Overall hospital rating - star rating,3
429472,Recommend hospital - star rating,4
429473,Summary star rating,3
429478,Nurse communication - star rating,5
429492,Doctor communication - star rating,4
429506,Staff responsiveness - star rating,4
429517,Communication about medicines - star rating,3
429527,Discharge information - star rating,4
429536,Care transition - star rating,3
429550,Cleanliness - star rating,5
429555,Quietness - star rating,4
429560,Overall hospital rating - star rating,4
429565,Recommend hospital - star rating,4
429566,Summary star rating,4
429571,Nurse communication - star rating,3
429585,Doctor communication - star rating,3
429599,Staff responsiveness - star rating,3
429610,Communication about medicines - star rating,2
429620,Discharge information - star rating,3
429629,Care transition - star rating,3
429643,Cleanliness - star rating,3
429648,Quietness - star rating,2
429653,Overall hospital rating - star rating,3
429658,Recommend hospital - star rating,2
429659,Summary star rating,3
429664,Nurse communication - star rating,3
429678,Doctor communication - star rating,3
429692,Staff responsiveness - star rating,3
429703,Communication about medicines - star rating,2
429713,Discharge information - star rating,3
429722,Care transition - star rating,2
429736,Cleanliness - star rating,3
429741,Quietness - star rating,2
429746,Overall hospital rating - star rating,3
429751,Recommend hospital - star rating,3
429752,Summary star rating,3
429757,Nurse communication - star rating,3
429771,Doctor communication - star rating,3
429785,Staff responsiveness - star rating,2
429796,Communication about medicines - star rating,3
429806,Discharge information - star rating,4
429815,Care transition - star rating,3
429829,Cleanliness - star rating,3
429834,Quietness - star rating,3
429839,Overall hospital rating - star rating,3
429844,Recommend hospital - star rating,4
429845,Summary star rating,3
429850,Nurse communication - star rating,5
429864,Doctor communication - star rating,5
429878,Staff responsiveness - star rating,5
429889,Communication about medicines - star rating,5
429899,Discharge information - star rating,4
429908,Care transition - star rating,4
429922,Cleanliness - star rating,4
429927,Quietness - star rating,4
429932,Overall hospital rating - star rating,5
429937,Recommend hospital - star rating,5
429938,Summary star rating,5
430036,Nurse communication - star rating,3
430050,Doctor communication - star rating,3
430064,Staff responsiveness - star rating,3
430075,Communication about medicines - star rating,3
